Opponent,EVOLUTION,PPO,TRANSFORMER
Always Cooperate,400.0,496.0,421.52
Always Defect,99.62,99.0,68.5
GTFT(p=0.1),273.31,315.3580017089844,277.32
Grudger,101.67,152.0,29.44
Pavlov,263.04,250.0,265.38
Random(p=0.5),234.93,249.1120452880859,194.58
Tit-for-Tat,263.08,250.0,262.44
