x,y
1,201.4865714285714
2,204.85390476190477
3,208.81428571428572
4,206.2009523809524
5,210.33200000000005
6,210.22666666666672
7,213.85857142857137
8,215.70800000000003
9,219.74638095238097
10,220.4663809523809
11,220.1774285714286
12,222.43733333333333
13,226.06857142857146
14,225.98657142857144
15,228.355619047619
16,229.9518095238095
17,230.76409523809525
18,231.6575238095238
19,230.6924761904762
20,230.67466666666664
21,231.96495238095238
22,233.08009523809523
23,232.94695238095244
24,233.3510476190476
25,233.7427619047619
26,233.71047619047621
27,233.58428571428573
28,233.66885714285715
29,233.50133333333335
30,233.8295238095238
31,233.9364761904762
32,233.75857142857146
33,233.78990476190472
34,233.78599999999997
35,233.52485714285714
36,233.58247619047623
37,233.65180952380953
38,233.4882857142857
39,233.3432380952381
40,233.80609523809522
41,233.73885714285717
42,233.69038095238093
43,233.6644761904762
44,233.75514285714286
45,233.95923809523808
46,233.64580952380956
47,233.9110476190476
48,233.89076190476186
49,233.85714285714286
50,233.67285714285714
51,233.7206666666667
52,233.61009523809523
53,233.81866666666664
54,233.66866666666664
55,233.8121904761905
56,233.90285714285713
57,233.99219047619047
58,233.88247619047615
59,233.98923809523808
60,233.84799999999998
61,234.03238095238095
62,233.982
63,233.7882857142857
64,233.81628571428573
65,233.91542857142858
66,233.74914285714286
67,233.91180952380958
68,233.85752380952377
69,233.98295238095238
70,233.83800000000002
71,233.84390476190478
72,233.939619047619
73,233.7307619047619
74,233.62809523809523
75,234.0072380952381
76,234.15333333333336
77,233.80704761904764
78,233.87771428571432
79,234.0461904761905
80,233.96047619047621
81,233.87333333333333
82,234.0265714285714
83,233.8798095238095
84,233.63085714285708
85,233.95352380952383
86,233.9046666666667
87,234.12904761904758
88,233.86971428571425
89,234.15085714285712
90,233.86009523809523
91,233.9184761904762
92,233.96761904761905
93,233.76933333333335
94,233.90866666666668
95,234.05561904761905
96,233.8182857142857
97,233.8138095238095
98,233.68419047619045
99,233.85714285714286
100,233.83819047619048
