x,y
1,213.30952380952385
2,219.9952380952381
3,227.85714285714283
4,227.85714285714283
5,227.85714285714283
6,228.1904761904762
7,228.1904761904762
8,228.59047619047618
9,231.24761904761908
10,231.7095238095238
11,231.7095238095238
12,232.17142857142858
13,232.37619047619046
14,233.55238095238093
15,233.55238095238093
16,233.55238095238093
17,233.83333333333331
18,233.95714285714283
19,233.95714285714283
20,234.15714285714284
21,234.15714285714284
22,235.27142857142857
23,235.27142857142857
24,235.27142857142857
25,235.27142857142857
26,235.27142857142857
27,235.27142857142857
28,235.27142857142857
29,235.27142857142857
30,235.27142857142857
31,235.27142857142857
32,235.27142857142857
33,235.27142857142857
34,235.27142857142857
35,235.27142857142857
36,235.27142857142857
37,235.27142857142857
38,235.27142857142857
39,235.27142857142857
40,235.27142857142857
41,235.27142857142857
42,235.27142857142857
43,235.27142857142857
44,235.27142857142857
45,235.27142857142857
46,235.27142857142857
47,235.27142857142857
48,235.27142857142857
49,235.27142857142857
50,235.27142857142857
51,235.27142857142857
52,235.27142857142857
53,235.27142857142857
54,235.27142857142857
55,235.27142857142857
56,235.58571428571426
57,235.58571428571426
58,235.58571428571426
59,235.58571428571426
60,235.58571428571426
61,235.58571428571426
62,235.58571428571426
63,235.58571428571426
64,235.58571428571426
65,235.58571428571426
66,235.58571428571426
67,235.58571428571426
68,235.58571428571426
69,235.58571428571426
70,235.58571428571426
71,235.58571428571426
72,235.58571428571426
73,235.58571428571426
74,235.58571428571426
75,235.58571428571426
76,235.58571428571426
77,235.58571428571426
78,235.58571428571426
79,235.58571428571426
80,235.58571428571426
81,235.58571428571426
82,235.58571428571426
83,235.58571428571426
84,235.58571428571426
85,235.58571428571426
86,235.58571428571426
87,235.58571428571426
88,235.58571428571426
89,235.8285714285714
90,235.8285714285714
91,235.8285714285714
92,235.8285714285714
93,235.8285714285714
94,235.8285714285714
95,235.8285714285714
96,235.8285714285714
97,235.8285714285714
98,235.8285714285714
99,235.8285714285714
100,235.8285714285714
